Target?,"RA,Dec (J2000)....",WDS.......,DD............,ADS..,HD....,HIP...,*V1.11*,*V2.22*,PPPP.PPPPPP,*,eee.eeeeee,AAA.AAAAA,*,ee.eeeee,III.IIII,eee.eeee,NNN.NNNN*,eee.eee,e TTTTT.TTTTTT,*,eee.eeeeee,E.EEEEEE,e.eeeeee,OOO.OOOO,eee.eeee,EQNX,LAST,G,N,REF.....,PNGFILE...........
,040700.63-100000.4,04070-1000,HDS 521,,26040,19206,7.29,8.6,21.33,y,0.44,0.223,a,0.006,122.2,1.2,38.2,1.7,1996.77,y,0.08,0.686,0.011,255.6,1.1,2000,2004,3,,Bag2006,wds04070-1000a.png
,040702.31+393424.9,04070+3934,COU1394,,276063,,9.3,9.3,192,y,.,0.25,a,.,30,.,135,.,1975,y,.,0,.,314.5,.,,,5,,Cou1999b,wds04070+3934a.png
,040734.35+380428.3,04076+3804,STT 531AB,2995,25893,19255,7.32,9.69,590,y,.,3.87,a,.,104,.,160.3,.,2070,y,.,0.25,.,195,.,2000,1985,5,n,Hei1986b,wds04076+3804b.png
,040854.31+291126.7,04089+2911,BU 1232,3017,26090,19365,8.8,9.6,60,y,.,0.28,a,.,78.4,.,166.7,.,1928,y,.,0.55,.,18.3,.,,1976,4,n,Mlr1978a,wds04089+2911a.png
,040854.55+461340.2,04089+4614,A   998,3007,25987,19366,7.87,8.5,158.245,y,7.794,0.2814,a,0.0103,123.76,2.18,170.76,3.17,2010.16,y,2.03,0.6922,0.0522,46.91,5.84,2000,1989,4,,Pop2000a,wds04089+4614a.png
,040908.56+283835.0,04091+2839,HO  326,3021,26126,19385,9.07,9.15,158.18,y,15.79,0.643,a,0.036,72.7,1.7,147.6,4.9,1880.92,y,4.54,0.857,0.051,271.6,0.9,2000,2003,4,n,Hrt2008,wds04091+2839k.png
,040918.92-202458.7,04093-2025,RST2333,,26347,,9.7,9.7,154.44,y,8.75,0.337,a,0.021,74.3,1.8,17.2,1.8,1996.04,y,8.29,0.138,0.031,113.8,24.5,2000,1993,5,,Ole2005d,wds04093-2025b.png
,040920.48-075544.5,04093-0756,A   469,3032,26294,19399,7.85,8.22,124.87,y,.,0.2986,a,.,65.5,.,236.8,.,1968.61,y,.,0.885,.,277,.,2000,1996,3,n,Bdl2007b,wds04093-0756b.png
,040959.09+423505.0,04100+4235,COU1702,,26139,,8.9,8.9,101.9,y,.,0.197,a,.,60,.,100,.,1967.4,y,.,0.55,.,93.3,.,,,5,,Cou1999b,wds04100+4235a.png
Y,075146.34-135349.9,07518-1354,BU  101,6420,64096,38382,5.61,6.49,22.7,y,0.027,0.602,a,0.0072,80.4,0.21,102.9,0.27,1985.92,y,0.021,0.741,0.007,73.1,0.4,,,2,n,Pbx2000b,wds07518-1354a.png
,041044.48-045228.2,04107-0452,A  2801,3041,26441,19508,8.3,8.3,40.26,y,.,0.19,a,.,70.5,.,9.5,.,1945.73,y,.,0.03,.,236.8,.,,1982,3,n,Baz1986a,wds04107-0452a.png
,041156.22+233810.7,04119+2338,CHR  14,,284163,19591,9.68,11.79,28.77,y,.,0.231,a,.,63.3,.,170,.,1993.01,y,.,0.602,.,57.6,.,2000,2000,5,n,Ole2003a,wds04119+2338a.png
,041216.47+093900.5,04123+0939,STT  74,3053,26547,,8.3,8.8,185,y,.,0.51,a,.,96,.,102.8,.,2006.2,y,.,0.39,.,314,.,2000,1993,3,,Alz2003a,wds04123+0939a.png
,041258.94+523640.7,04130+5237,PRV   1,,,,<13.2,>15.4,2.04,y,0.03,0.0731,a,0.0052,57,15,12,15,1998.9,y,0.2,0.35,0.22,133,33,,2004,5,n,Prv2004,wds04130+5237a.png
,041314.00+225731.7,04132+2258,HU  302,3058,284242,19702,9.82,10.05,290.42,y,.,0.253,a,.,54,.,23.2,.,1728.64,y,.,0.28,.,106.6,.,,1978,5,n,Erc1984b,wds04132+2258b.png
,041333.11+074257.7,04136+0743,A  1938,3064,26690,19719,6,6.1,7.1788,y,0.0071,0.1355,a,0.0008,67.16,0.38,144.88,0.36,1990.625,y,0.016,0.3395,0.0049,303.4,0.74,2000,,1,n,Hrt1996a,wds04136+0743a.png
,041409.55-460756.0,04142-4608,RST2338,,27019,19758,8.48,7.19,18.562,y,.,0.3088,a,.,69.3,.,112.8,.,1954.278,y,.,0.727,.,255.5,.,1900,1972,3,n,Sta1981a,wds04142-4608b.png
,041409.55-460756.0,04142-4608,RST2338,,27019,19758,8.48,7.19,36.1,y,.,0.29,a,.,58,.,132,.,1975.9,y,.,0,.,180,.,2000,,3,n,Sod1999,wds04142-4608c.png
,041412.92+281212.5,04142+2813,"GHE   1Aa,Ab",,283447,19762,10.59,.,125,y,.,0.249,a,.,63.8,.,101.1,.,1998.62,y,.,0.643,.,299.4,.,,2001,5,n,Tam2002,wds04142+2813b.png
,041449.28+281230.6,04148+2813,GHE   2,,,,15.4,.,194,y,.,0.219,a,.,38.7,.,83.8,.,2023.12,y,.,0.449,.,206.9,.,,2001,5,n,Tam2002,wds04148+2813b.png
,041509.48-042505.1,04152-0425,GJ 1069,,,19832,9.39,.,669,d,26,21,m,3,56,11,288,100,48613,d,150,0.31,0.21,66,94,,1993,9,,Gln2006,wds04152-0425u.png
,041509.48-042505.1,04152-0425,GJ 1069,,,19832,9.39,.,662,d,34,21,m,5,47,12,170,86,48732,d,282,0.32,0.28,75,64,,1993,9,,Gln2006,wds04152-0425v.png
,041453.86+482433.7,04149+4825,"STT  73Aa,P",3071,26630,19812,4.18,.,0.778,y,.,0.0188,a,.,74,.,296.    *,.,1913.802,y,.,0.062,.,302,.,,,9,n,Ald1925,wds04149+4825p.png
,041521.78-073929.2,04153-0739,STF 518BC,3093,26976,,9.52,11.17v,252.1,y,.,6.943,a,.,108.9,.,150.9,.,1849.6,y,.,0.41,.,327.8,.,2000,1973,4,n,Hei1974c,wds04153-0739a.png
,041555.72+314135.5,04159+3142,STT  77AB,3082,26842,19883,8.04,8.22,187.925,y,.,0.549,a,.,52.71,.,72.89,.,1886.934,y,.,0.45,.,31.02,.,,1979,3,n,Sta1985,wds04159+3142a.png
,041620.92-605654.8,04163-6057,GLE   1,,27463,19917,6.83,7.55,480,y,.,0.89,a,.,34.1,.,92.3,.,1990.9,y,.,0.63,.,35.4,.,2000,2001,5,n,Doc2006b,wds04163-6057d.png
,041701.22+194033.4,04170+1941,HO  328,3102,27028,19975,7.38,9.06,63.3,y,.,0.358,a,.,130,.,81.8,.,1972.4,y,.,0.98,.,263,.,2000,1976,3,n,Hei1978a,wds04170+1941a.png
,041755.71+584726.8,04179+5847,STF 511,3098,26839,20046,7.37,8.7,343,y,.,0.535,a,.,148,.,128.5,.,1933,y,.,0.31,.,298,.,,,3,n,Hei1996c,wds04179+5847a.png
,041814.55+224824.9,04182+2248,STF 520,3114,27160,20071,8.26,8.45,222.18,y,.,0.581,a,.,43.7,.,151,.,1969.64,y,.,0.872,.,123.5,.,2000,1998,3,n,Hrt2001b,wds04182+2248a.png
,041814.58+501744.3,04182+5018,b Per,,26961,20070,4.6,.,701.76,d,.,5.09,m,1.07,83.46,10.36,115.29,10,40143.3984,d,.,0.235,.,263,.,,1991,9,n,HIP1997d,wds04182+5018p.png
,041823.14+213445.8,04184+2135,MCA  14Aa,,27176,20087,5.6,8.1,11.35,y,0.021,0.1329,a,0.95,125.5,0.73,350.7,0.61,1977.74,y,0.056,0.167,0.0044,339,1.9,,,2,n,Pbx2000b,wds04184+2135f.png
,041930.24+375954.3,04195+3800,HDS 552,,27214,20176,7.57,8.82,36.4,y,.,0.211,a,.,103,.,311,.,2030.34,y,.,0.66,.,113,.,,2004,4,,Hor2008,wds04195+3800a.png
,041954.78+163121.6,04199+1631,STT  79,3135,27383,20215,7.26,8.62,89.7,y,.,0.59,a,.,53,.,62,.,1987,y,.,0.6,.,134,.,2000,,2,n,Sod1999,wds04199+1631d.png
,042028.91-011858.8,04205-0119,RST4769,,27516,20257,7.59,7.63,55.5,y,.,0.233,a,.,98,.,17.6,.,1984,y,.,0.68,.,200.5,.,2000,,5,,Hei1997,wds04205-0119a.png
,042052.72+135151.9,04209+1352,Mel 25 VA 201,,27483,20284,6.16,.,3.05911,d,0.00001,1.26,m,0.05,45.1,1.7,7.3,3.6,44497.1857,d,0.0026,0,.,0,.,2000,2002,8,n,Knc2004,wds04209+1352a.png
,042131.29-254342.4,04215-2544,BU  744AB,3159,27710,20347,7.26,6.56,81.025,y,.,0.48,a,.,32.65,.,356.65,.,1924.014,y,.,0.59,.,110.93,.,2000,1989,2,n,Sca1991c,wds04215-2544b.png
,042159.37+193206.0,04220+1932,"KRS   2Ba,Bb",,284419,B 20390,B   .,.,33.06,y,1,0.104,a,0.005,52,4,68.8,7,1996.43,y,3,0.627,0.05,80.1,10,2000,2001,4,n,Tam2005,wds04220+1932b.png
,042202.14+265731.2,04220+2658,SMN   9,,,,14.1,16.8,271,y,.,0.272,a,.,19.7,.,18,.,2035.73,y,.,0.168,.,138,.,,2001,5,n,Tam2002,wds04220+2658b.png
,042244.10+150322.1,04227+1503,STT  82AB,3169,27691,20440,7.31,8.63,241,y,.,1.16,a,.,135,.,194,.,1891,y,.,0.26,.,49,.,2000,2002,3,n,WSI2004a,wds04227+1503a.png
,042316.83+112240.8,04233+1123,STF 535,3174,27762,20472,6.95,8.29,1128,y,.,2.04,a,.,145.5,.,114,.,2046,y,.,0.495,.,243.6,.,2000,1999,5,n,Hrt2000c,wds04233+1123a.png
,042322.79+193931.5,04234+1940,V988 Tau,,284414,20482,9.37,.,590.6,d,.,7.6,m,2.37,26.83,31.68,10.98,12.48,43512.8984,d,.,0.638,.,303.1,.,,1991,9,n,HIP1997d,wds04234+1940p.png
,042351.84+092739.5,04239+0928,HU  304,3182,27820,20522,5.8,5.9,54.77,y,.,0.188,a,.,34.2,.,239.8,.,1937.24,y,.,0.72,.,332,.,,1997,2,n,Hrt2000b,wds04239+0928c.png
,042537.25+155627.9,04256+1556,FIN 342Aa,,27991,20661,7.74,7,6.28,y,.,0.105,a,.,122,.,215,.,1988.7,y,.,0.73,.,271,.,2000,,1,n,Sod1999,wds04256+1556h.png
,042547.49+180102.5,04258+1800,COU2682,,27990,20679,9.49,10.6,36.7,y,.,0.27,a,.,60.1,.,159.1,.,1995.2,y,.,0.017,.,54.4,.,2000,2000,5,n,Doc2007h,wds04258+1800k.png
,042551.66+185150.9,04259+1852,BU 1185,3210,27989,20686,8.09,8.89,27.4,y,.,0.259,a,.,97,.,23,.,1996,y,.,0.04,.,235,.,2000,,2,n,Sod1999,wds04259+1852a.png
,042612.37+354422.2,04262+3544,HU  608,3209,279822,20707,10,9.97,287,y,.,0.42,a,.,162,.,48.6,.,2002,y,.,0,.,0,.,2000,1969,5,n,Hei1969b,wds04262+3544a.png
,042614.99+344257.8,04263+3443,HU  609,3211,27961,20709,9.32,9,83.3,y,.,0.242,a,.,124.4,.,6.1,.,1979.38,y,.,0.493,.,274.1,.,2000,1989,3,n,Doc1994d,wds04263+3443b.png
,042656.93-240452.6,04269-2405,BU  311,3230,28312,20765,6.67,7.09,596.45,y,.,1.029,a,.,62,.,124.3,.,1980.98,y,.,0.532,.,345,.,2000,1999,4,n,Sca2003b,wds04269-2405c.png
,042702.79+254222.6,04271+2542,THB   1,,283654,20777,11,11.5,92.8,y,.,0.137,a,.,135.1,.,16.2,.,1981.34,y,.,0.509,.,326.4,.,,1998,4,n,Tam2002,wds04271+2542c.png
,042728.77+111244.4,04275+1113,BU 1186,3228,28217,20804,6.07,7.94,160.59,y,.,0.401,a,.,118.6,.,5.4,.,2005.8,y,.,0.74,.,27.3,.,2000,1996,4,n,Ole2005a,wds04275+1113a.png
,042731.68-242725.9,04275-2427,I   413,3241,28368,20807,8.51,9.48,183,y,.,0.56,a,.,32,.,115,.,1968.5,y,.,0.79,.,49,.,2000,1991,5,n,Hei1993d,wds04275-2427a.png
,042834.43+155744.0,04286+1558,MCA  15,,28307,20885,3.84,7.3,16.26,y,0.13,0.2178,a,0.0054,92.35,0.24,355.54,0.26,1998.51,y,0.17,0.57,0.022,250.1,1.6,2000,1994,3,n,Trr1997c,wds04286+1558a.png
,042839.67+155215.4,04287+1552,the 2 Tau,,28319,20894,3.4,.,140.72816,d,0.00093,0.0186,a,0.0002,46.2,1,171.2,1.8,49015.32,d,0.12,0.7266,0.0049,236.3,1.1,2000,1994,8,n,Trr1997c,wds04287+1552p.png
,042839.74+155215.2,04287+1552,"MKT  13Aa,Ab",,28319,20894,3.41,.,140.72816,d,.,18.796,m,0.056,47.61,0.09,173.73,0.07,47748.576,d,0.012,0.73725,0.00036,55.4,0.06,,,1,n,MkT2006,wds04287+1552k.png
,042859.72+160933.0,04290+1610,HU 1080,3248,28363,20916,6.85,8.38,40.7,y,.,0.39,a,.,92,.,78,.,1960,y,.,0.33,.,311,.,2000,,2,n,Sod1999,wds04290+1610a.png
,042920.49+173242.0,04293+1733,Hyades vB 77,.,28394,20935,7.01,.,238.9,d,.,11.5,m,1.1,16.5,1.3,308.3,3.5,43298.5,d,.,0.24,.,127,.,,1992,9,n,Jnc2005,wds04293+1733u.png
,042929.71+261653.3,04295+2617,SMN  11AB,,,,16.4,.,242,y,.,0.18,a,.,23,.,161,.,2005.3,y,.,0.752,.,114.2,.,2000,1997,5,n,Doc2002b,wds04295+2617a.png
,043008.53+153816.4,04301+1538,STF 554,3264,28485,20995,5.7,8.12,180,y,.,1,a,.,107.6,.,14,.,1887,y,.,0.82,.,162,.,,1975,4,n,Baz1980a,wds04301+1538a.png
,043051.73+244147.9,04309+2442,SMN  13,,,,.,.,31.5,y,5.3,61,m,10,133.9,7.6,127.1,7.6,1994.26,y,0.85,0.401,0.085,270,20,,2005,4,n,Sfr2006,wds04309+2442k.png
,043053.25+590146.9,04309+5902,"STI2051Aa,Ab",,,,11.1,.,23,y,.,0.07,a,.,65,.,97,.,1966,y,.,0.3,.,73,.,,1977,9,n,Str1977,wds04309+5902p.png
,043137.04+174235.5,04316+1743,VVO 394,,28634,21123,9.52,.,844.6,d,.,13.38,m,1.33,52.8,.,212.41,6.41,44413.5,d,.,0.148,.,325,.,,1991,9,n,HIP1997d,wds04316+1743p.png
,043230.32+173140.3,04325+1732,LEI   3Aa,,,,13,.,196.6,y,.,0.258,a,.,142.9,.,96.2,.,2060,y,.,0.317,.,241.4,.,,2001,5,n,Tam2002,wds04325+1732b.png
,043306.62+240954.9,04331+2410,"GHE  13Ab1,2",,,,.,.,8.65,y,0.14,39.1,m,1,137.2,2.8,97.4,5.7,1999.29,y,0.1,0.57,0.031,108.4,4.1,,2005,5,n,Sfr2006,wds04331+2410l.png
,043350.86+145040.2,04338+1451,rho Tau,,28910,21273,4.66,.,105.364,d,1.976,2.41,m,1.62,96.21,10.39,60.82,11.5,48375.8672,d,4.8979,0,.,0,.,,1991,9,n,HIP1997d,wds04338+1451p.png
,043358.48+150949.3,04340+1510,CHR  17,,285931,21280,8.93,10.2,13.93,y,.,0.15,a,.,45.4,.,125.3,.,1995.87,y,.,0.6,.,297.9,.,2000,2001,4,n,Cve2007d,wds04340+1510c.png
,043359.72-550242.0,04340-5503,B  2092AB,,29305,21281,3.62,4.57,12.1,y,.,0.18,a,.,31,.,140,.,1986,y,.,0.8,.,193,.,2000,,3,n,Sod1999,wds04340-5503c.png
,043453.17+390831.0,04349+3908,HU 1082,3303,276666,21352,9.5,10.08,52.19,y,.,0.355,a,.,45.9,.,117.5,.,1969.69,y,.,0.74,.,205,.,,1973,4,n,Cou1975c,wds04349+3908a.png
,043524.09+853137.2,04354+8532,BD+85   63,,26237,21386,6.57,.,1031,d,30,20,m,2,98,2,30,92,49207,d,124,0.23,0.13,89,82,,1993,9,,Gln2006,wds04354+8532u.png
,043524.09+853137.2,04354+8532,BD+85   63,,26237,21386,6.57,.,1044,d,26,20,m,1,100,2,203,92,49258,d,112,0.23,0.12,59,87,,1993,9,,Gln2006,wds04354+8532v.png
,043539.23+100939.3,04357+1010,"88 Tau Aa1,Aa2",3317,29140,21402,4.44,6.61,3.571096,d,0.000003,1.359,m,0.034,110.6,2.7,287.5,1.8,53389.3824,d,0.003,0,.,0,.,2000,2007,9,n,Lne2007,wds04357+1010d.png
,043539.23+100939.3,04357+1010,"88 Tau Ab1,Ab2",3317,29140,21402,4.44,6.61,7.886969,d,0.000066,1.967,m,0.054,27.23,0.72,34,8.2,52507.31,d,0.02,0,.,0,.,2000,2007,9,n,Lne2007,wds04357+1010e.png
,043539.23+100939.3,04357+1010,"CHR  18Aa,Ab",3317,29140,21402,4.44,6.61,6585,d,12,240.1,m,5.3,69.923,0.048,146.734,0.067,55261,d,22,0.0715,0.0026,205.7,1.2,2000,2007,2,n,Lne2007,wds04357+1010k.png
,043609.34+081332.8,04362+0814,A  1840AB,3326,29196,21434,8.37,8.91,163.5,y,.,0.22,a,.,143.4,.,79.4,.,1840.71,y,.,0.436,.,58.2,.,2000,1996,3,n,Bdl2006a,wds04362+0814k.png
,043624.76+341233.3,04364+3413,HU  610,3323,280026,21454,10.21,9.96,59.25,y,1,0.176,a,0.002,46.2,1,98.1,2,2004.71,y,0.2,0.383,0.002,146.8,3,2000,2004,3,n,Tam2006,wds04364+3413c.png
,043641.43+411553.5,04367+4116,58 Per,,29095,21476,4.25,.,28.8,y,.,0.051,a,.,81,.,237.    *,.,1978.65,y,.,0.64,.,191,.,,,9,n,Hei1993e,wds04367+4116q.png
,043642.57+192935.1,04367+1930,STF 567,3330,29205,,9,9.28,475,y,.,1.97,a,.,58.1,.,90,.,1781,y,.,0.887,.,81.1,.,2000,1997,5,n,Sey2002,wds04367+1930a.png
,043649.17-173300.7,04368-1733,A  2915,3341,,,10.1,10.1,83.39,y,.,0.232,a,.,49.7,.,32.8,.,1947.12,y,.,0.65,.,101,.,,1983,4,n,Baz1986a,wds04368-1733c.png
,043726.28-095101.2,04374-0951,RST3401,,29392,21536,9.25,9.88,159.41,y,2.43,0.354,a,0.043,143.3,2.4,96.2,3.3,1966.85,y,2.7,0.473,0.033,46.2,4.8,2000,1991,4,n,Nov2007d,wds04374-0951a.png
,043731.98+150847.2,04375+1509,CHR 153,,29310,21543,7.54,.,72.33,y,.,0.543,a,.,69.8,.,6.1,.,2055.36,y,.,0.738,.,297.2,.,2000,1996,5,n,Ole2003b,wds04375+1509a.png
,043810.87-141812.9,04382-1418,KUI  18,,29503,21594,4.02,6.95,77.4,y,1.5,0.7069,a,0.0093,59.8,1.8,171.25,0.96,1976.77,y,0.26,0.666,0.017,23.5,1.8,2000,,4,n,Hrt1996a,wds04382-1418a.png
,043930.99+340745.0,04395+3408,COU1085,,282346,21697,10.07,11.36,165.5,y,.,0.385,a,.,146,.,87.5,.,1973.88,y,.,0.1,.,97.9,.,,,5,,Cou1999b,wds04395+3408a.png
,043931.59-450724.4,04395-4507,I  1489,,29803,21698,9.45,10.23,32,y,.,0.29,a,.,77,.,80,.,1999,y,.,0.11,.,308,.,2000,,4,n,Sod1999,wds04395-4507a.png
,043958.03+532823.7,04400+5328,BU 1295AB,3358,29316,21730,7.35,5.86,26.65,y,.,0.174,a,.,141,.,20.8,.,1988.9,y,.,0.86,.,51.5,.,,,2,n,Hei1996b,wds04400+5328b.png
,043958.03+532823.7,04400+5328,STF 566AB-C,3358,29316,21730,5.56,7.49,737.2,y,.,2.07,a,.,121.1,.,285.6,.,1967.6,y,.,0.32,.,59.2,.,2000,2005,4,n,WSI2006b,wds04400+5328l.png
,043958.03+532823.7,04400+5328,STF 566AB-C,3358,29316,21730,5.56,7.49,480.75,y,3.81,1.514,a,0.038,128.4,0.7,110.8,0.8,2027.79,y,3.26,0.229,0.012,307.1,5,2000,2005,4,n,Cve2008a,wds04400+5328k.png
,043959.09+230052.4,04400+2301,HU  442,3370,29538,,9.3,9.9,248.149,y,55.058,0.4537,a,0.0614,69.34,0.84,177.93,0.46,1988.71,y,10.07,0.1294,0.0532,259.92,21.05,2000,1991,5,,Pop2000a,wds04400+2301a.png
,044017.72-585639.6,04403-5857,HJ 3683,,30003,21756,7.33,7.45,326.17,y,.,2.435,a,.,100.9,.,263.6,.,1919.36,y,.,0.95,.,338.1,.,2000,2002,4,n,Bdl2006b,wds04403-5857k.png
,044213.44+373053.6,04422+3731,STF 577,3390,29695,21878,8.38,8.45,329,y,.,1.28,a,.,138,.,161,.,2024,y,.,0.65,.,259,.,2000,2002,4,n,WSI2004a,wds04422+3731a.png
,044213.71+025924.2,04422+0259,A  2424,3395,29839,21880,7.87,8.33,49,y,.,0.175,a,.,96,.,44,.,1942,y,.,0,.,180,.,,1970,4,n,WRH1976a,wds04422+0259b.png
,044213.71+025924.2,04422+0259,A  2424,3395,29839,21880,7.87,8.33,24.5,y,.,0.088,a,.,120,.,44,.,1978.75,y,.,0.9,.,180,.,,1970,4,n,WRH1976a,wds04422+0259a.png
,044214.70+225725.1,04422+2257,MCA  16Aa,,29763,21881,4.33,6.97,46.81,y,.,0.249,a,.,132.3,.,12.2,.,2025.11,y,.,0.324,.,126.8,.,2000,1998,3,n,Ole2005a,wds04422+2257a.png
,044258.77+571207.3,04430+5712,A  1014,3389,29599,21941,8.7,8.85,74.83,y,.,0.244,a,.,13,.,111.9,.,1969.67,y,.,0.465,.,78.8,.,2000,1999,2,n,Bdl2007a,wds04430+5712b.png
,044317.17-233741.9,04433-2338,CD-23 2115,,30051,21965,7.12,.,710,d,38,11,m,16,126,18,155,48,48864,d,127,0.56,0.37,100,40,,1993,9,,Gln2006,wds04433-2338u.png
,044317.17-233741.9,04433-2338,CD-23 2115,,30051,21965,7.12,.,718,d,20,10,m,2,123,8,167,90,48805,d,224,0.3,0.22,104,44,,1993,9,,Gln2006,wds04433-2338v.png
,044317.76+593116.4,04433+5931,A  1013,3391,29606,21966,7.25,7.42,126.24,y,.,0.289,a,.,34.5,.,91.9,.,1981.83,y,.,0.766,.,51,.,2000,1989,3,n,Doc1990c,wds04433+5931c.png
,044626.92+422054.2,04464+4221,COU2031,,30090,22196,7.4,7.4,20.46,y,0.5,0.152,a,0.002,81.8,2,148.1,1.5,1988.47,y,0.6,0.273,0.03,188.4,5,2000,2004,3,n,Tam2006,wds04464+4221h.png
,044729.06+432402.0,04475+4324,A  1544AB,3438,30196,22255,9.5,9.66,76.81,y,.,0.159,a,.,133.5,.,125.3,.,1961.22,y,.,0.423,.,93.6,.,2000,1995,4,n,Doc2001d,wds04475+4324a.png
,044749.52+531804.6,04478+5318,HU  612,3434,30136,22279,7.06,8.54,309.87,y,4.07,0.502,a,0.068,40.3,2.9,3.8,3.3,1903.76,y,5.05,0.424,0.043,200.9,5.7,2000,2004,5,n,Nov2007d,wds04478+5318a.png
,044933.19+021206.4,04496+0212,A  2621,3465,30636,22428,8.69,8.35,310.47,y,.,0.212,a,.,45.8,.,90,.,1699.04,y,.,0.372,.,44.2,.,2000,1993,4,n,Sey1999b,wds04496+0212a.png
,044936.92-535255.5,04496-5353,I   342,,31027,22431,7.64,8.14,868.05,y,19.71,3.827,a,0.168,127,1.7,74.6,2.7,2743.45,y,2.01,0.915,0.064,127.3,4.7,2000,2001,5,,Cve2008a,wds04496-5353k.png
,045013.57-311229.5,04502-3113,B  1474,,30906,22484,10.03,10.45,97.4,y,.,0.27,a,.,0,.,0,.,1932.4,y,.,0,.,0,.,2000,1978,5,n,Hei1979b,wds04502-3113a.png
,045027.32+010300.5,04505+0103,A  2622,3472,30763,,9.2,10,158.46,y,.,0.25,a,.,123.8,.,79.5,.,1988.44,y,.,0.022,.,163.4,.,2000,1993,4,n,Sca2003a,wds04505+0103d.png
,045028.34-383336.9,04505-3834,GC 5916,,30997,22500,7.3,.,1144.4598,d,86.6148,12.78,m,0.91,126.04,8.15,158.82,8.53,48424.5234,d,33.0962,0,.,0,.,,1991,9,n,HIP1997d,wds04505-3834p.png
,045033.76+150500.6,04506+1505,CHR  20,,30712,22505,7.43,.,7.5,y,.,0.096,a,.,71,.,132,.,1994.3,y,.,0,.,0,.,2000,,4,n,Sod1999,wds04506+1505a.png
,045112.48+110405.0,04512+1104,BU  883AB,3475,30810,22550,7.75,7.5,16.28,y,.,0.188,a,.,17,.,147,.,1988.39,y,.,0.46,.,257,.,2000,,1,n,Sod1999,wds04512+1104a.png
,045128.20-345422.4,04515-3454,FIN 320,,31093,22573,6.31,7.05,37.3,y,.,0.261,a,.,110.5,.,18.4,.,1963.1,y,.,0.83,.,107,.,2000,1990,3,n,Hei1993d,wds04515-3454a.png
,045149.92+133918.7,04518+1339,BU  552AB,3483,30869,22607,6.41,8.89,95.2,y,.,0.71,a,.,48,.,143,.,1982,y,.,0.59,.,310,.,2000,,2,n,Sod1999,wds04518+1339c.png
,045427.96-031333.3,04545-0314,RST5501,,31297,22812,7.29,7.46,147,y,.,0.354,a,.,111.9,.,44.7,.,2000.7,y,.,0.332,.,77.3,.,2000,1996,4,,Sey2002,wds04545-0314a.png
,045602.03+302103.7,04560+3021,SFN   1,,,,11.6,.,6.913,y,0.033,0.0328,a,0.0013,113.8,3.4,179.5,2.7,1993.369,y,0.042,0.457,0.017,216.7,2.8,2000,1998,4,n,Sfn2001,wds04560+3021b.png
,045616.87+520552.2,04563+5206,HU  555AB,3520,31166,22951,8.83,9.14,72.1,y,.,0.21,a,.,48.7,.,129.4,.,1968.1,y,.,0.44,.,104,.,2000,1975,4,n,Hei1976,wds04563+5206a.png
,045717.22+534507.5,04573+5345,D     5AB,3536,31278,23040,4.49,7.9,284,y,.,0.78,a,.,137.9,.,158.2,.,1986,y,.,0.74,.,30.2,.,1900,1976,5,n,Baz1979,wds04573+5345a.png
,045901.44-162234.8,04590-1623,BU  314AB,3588,31925,23166,5.92,7.5,55,y,.,0.44,a,.,118,.,141,.,1979,y,.,0.88,.,0,.,2000,,3,n,Sod1999,wds04590-1623c.png
,045905.14+632206.4,04591+6322,HU 1090,3552,31337,23170,9.13,9.37,49.77,y,.,0.2,a,.,135.6,.,32.5,.,1947.46,y,.,0.08,.,4.6,.,1950,1981,4,n,Baz1984a,wds04591+6322c.png
,045950.44-101546.8,04598-1016,63 Eri,,32008,23221,5.4,.,829,d,68,12,m,12,97,10,61,98,48622,d,269,0.87,0.28,97,70,,1993,9,,Gln2006,wds04598-1016u.png
,045950.44-101546.8,04598-1016,63 Eri,,32008,23221,5.4,.,862,d,62,17,m,14,93,6,40,10,48606,d,112,0.93,0.14,109,20,,1993,9,,Gln2006,wds04598-1016v.png
,045953.79+532707.6,04599+5327,A  1303,3573,31578,23229,8.54,9.24,142.25,y,.,0.198,a,.,133.1,.,1.2,.,2030.31,y,.,0.486,.,210.9,.,2000,1996,3,n,Sca2001a,wds04599+5327c.png
,050018.35+392340.9,05003+3924,STT  92AB,3589,31761,23261,6.02,9.5,1598.04,y,50.35,5.379,a,0.388,56.1,0.8,155.4,0.7,3242.73,y,8.96,0.536,0.031,333.4,4.5,2000,2002,5,n,Cve2006e,wds05003+3924k.png
,050029.67+050556.6,05005+0506,STT  93,3596,32022,23277,8.57,9.16,1467.52,y,.,2.53,a,.,99.7,.,241.3,.,1914.22,y,.,0.649,.,249.3,.,2000,1997,5,n,Sey1999a,wds05005+0506a.png
,050103.00-111229.0,05010-1112,A  2629,3610,32222,23326,7.73,8.63,154.7,y,13.5,0.187,a,0.014,115.2,3.8,108.2,3.4,1958.143,y,0.026,0.844,0.026,104.3,3.1,2000,1996,4,,Sca2008c,wds05010-1112a.png
,050144.26+204948.3,05017+2050,HU  445,3614,32127,23396,9.32,8.45,303.69,y,.,0.592,a,.,45,.,73.2,.,1956.51,y,.,0.376,.,323,.,2000,2000,4,n,Sca2000a,wds05017+2050b.png
